numberOfPlot,street,buildingCount
12,улица Виноградова,0
12,улица Виталия Потылицына,16
12,Витимская улица,1
12,Вишневая улица,0
12,Владивостокская улица,0
12,улица Владимира Высоцкого,1
12,улица Владимира Заровного,4
12,Владимировская улица,62
12,Владимировский спуск,27
12,улица Власова,1
12,Внешняя улица,3
12,улица Водозабор,5
12,Водопроводная улица,2
12,улица Воеводского,15
12,Военная улица,43
12,Военная горка 1-я линия,0
12,Военная горка 4-я линия,0
12,Военная горка 5-я линия,0
12,Военная горка 6-я линия,0
12,улица Военный городок,12
12,улица Вознесенская,1
12,Вознесенская улица,8
12,Воинская улица,172
12,улица Войкова,7
12,тупик Войкова,3
12,Вокзальная магистраль,35
12,Волжская улица,5
12,Волжский переулок,0
12,улица Волколакова,0
12,улица Володарского,16
12,Волочаевская улица,71
12,Волочаевский переулок,1
12,Волховская улица,47
12,Воронежская улица,7
12,Воронежский переулок,1
12,улица Воскова,22
12,улица Воскресная,3
12,Воскресная улица,13
12,Восточный проезд,18
12,Восточный поселок,9
12,улица Восход,32
12,Выборная улица,232
12,улица Выборная,1
12,Выборный проезд,0
12,Высоковольтная улица,33
12,Высоковольтный переулок,7
12,Высокогорная улица,120
12,Высотная улица,7
12,улица Высоцкого,77
12,Выставочная улица,32
12,Вяземская улица,4
13,Газонная улица,8
13,улица Гайдара,71
13,улица Галилея,3
13,улица Галковского,1
13,улица Галущака,12
13,улица Гаранина,25
13,улица Гармоничная,1
13,улица Гаршина,1
13,улица Гастелло,30
13,Гастрономическая улица,10
13,Гвардейская улица,0
13,Генераторная улица,3
13,Геодезическая улица,23
13,Геологическая улица,4
13,улица Геологическая СНТ "Строймашевец",0
13,Георгиевская улица,1
13,улица Георгия Колонды,0
13,Геофизическая улица,73
13,улица Героев Революции,75
13,улица Героев Труда,46
13,улица Герцена,23
13,Гидромонтажная улица,8
13,улица Гидростроителей,3
13,Гипсовая улица,2
13,улица Гладкова,80
13,улица Глинки,2
13,улица Гнесиных,5
13,улица Гоголя,137
13,улица Годовикова,0
13,Гомельская улица,1
13,Гончарная улица,9
13,улица Гончарова,1
13,улица Горбаня,13
13,Горская улица,13
13,Горский микрорайон,52
13,улица Горького,1
13,Гостинная улица,2
13,Гравийный переулок,15
13,Гражданская улица,11
13,Гранатовая улица,1
13,Гранитная улица,4
13,улица Гребенщикова,24
13,улица Грекова,0
13,тупик Грекова,0
13,улица Грибоедова,77
13,улица Григоровича,1
13,улица Гризодубовой,106
13,улица Громова,21
13,улица Грузинская,1
13,Грузинская улица,4
13,Грунтовая улица,4
13,переулок Губкина,0
13,Гурзуфская улица,3
13,Гурьевская улица,99
13,улица Гусинобродский Тракт,2
13,Гусинобродское шоссе,78
13,Гэсстроевская улица,69
13,улица Гэсстроевская,1
14,улица Давыдовского,5
14,переулок Давыдовского,1
14,проезд Далидовича,26
14,улица Далидовича,272
14,Дальневосточная улица,24
14,Дальняя улица,2
14,улица Даргомыжского,21
